CASENUM	VEH_NO	PER_NO	WEIGHT	REGION	STRATUM	PJ	PSU	PSUSTRAT	MTM_CRSH
201210432852	0	1	27.146	1	3	3	2	3	2
201210432852	0	1	27.146	1	3	3	2	3	19
201210433422	0	1	215.54684	1	4	4	2	3	2
201210433476	0	1	108.584	1	6	1	2	3	21
201210433519	0	1	53.88671	1	3	4	2	3	1
201210433711	0	1	49.280305	1	3	6	2	3	0
201210433930	0	1	98.56061	1	6	6	2	3	8
201210433930	0	1	98.56061	1	6	6	2	3	15
201210434175	0	1	27.146	1	3	2	2	3	0
201210434222	0	1	246.401525	1	4	6	2	3	0
201210434250	0	1	246.401525	1	4	6	2	3	1
201210434250	0	1	246.401525	1	4	6	2	3	19
201210434409	0	1	27.146	1	3	1	2	3	16
201210434454	0	1	53.88671	1	3	4	2	3	0
201210434682	0	1	53.88671	1	3	4	2	3	3
201210434682	0	2	53.88671	1	3	4	2	3	3
201210434686	0	1	53.88671	1	3	4	2	3	2
201210434688	0	1	53.88671	1	3	4	2	3	0
201210434764	0	1	27.146	1	3	3	2	3	0
201210434857	0	1	53.88671	1	3	4	2	3	0
201210434895	0	1	27.146	1	3	2	2	3	6
201210435078	0	1	57.523731	1	3	9	2	3	0
201210435161	0	1	27.146	1	3	1	2	3	0
201210435168	0	1	27.146	1	3	1	2	3	2
201210435181	0	1	53.88671	1	3	4	2	3	0
201210435187	0	1	53.88671	1	3	4	2	3	0
201210435346	0	1	217.168	1	4	1	2	3	0
201210435394	0	1	89.85326	1	3	10	2	3	0
201210435582	0	1	53.88671	1	3	4	2	3	2
201210435582	0	1	53.88671	1	3	4	2	3	3
201210435712	0	1	106.644961	1	2	16	2	3	0
201210435772	0	1	217.168	1	4	1	2	3	1
201210436181	0	1	57.523731	1	3	9	2	3	1
201210436370	0	1	27.146	1	3	1	2	3	19
201210712467	0	1	14.897799	1	3	8	3	1	5
201210712534	0	1	14.573372	1	3	21	3	1	3
201210712544	0	1	12.454	1	3	1	3	1	0
201210712752	0	1	14.75799	1	3	13	3	1	0
201210712793	0	1	14.897799	1	3	8	3	1	1
201210712955	0	1	218.60058	1	4	21	3	1	1
201210712955	0	1	218.60058	1	4	21	3	1	6
201210712957	0	1	14.573372	1	3	21	3	1	1
201210712957	0	1	14.573372	1	3	21	3	1	3
201210712957	0	1	14.573372	1	3	21	3	1	6
201210713011	0	1	14.923428	1	3	4	3	1	0
201210713022	0	1	15.236148	1	3	3	3	1	8
201210713022	0	1	15.236148	1	3	3	3	1	13
201210713038	0	1	223.463504	1	4	3	3	1	0
201210713148	0	1	14.573372	1	3	21	3	1	0
201210713226	0	1	15.620256	1	3	16	3	1	2
201210713226	0	1	15.620256	1	3	16	3	1	3
201210713233	0	1	50.55502	1	5	7	3	1	5
201210713340	0	1	14.349849	1	3	10	3	1	0
201210713478	0	1	15.166506	1	3	7	3	1	21
201210713623	0	1	223.466985	1	4	8	3	1	0
201210713831	0	1	15.166506	1	3	7	3	1	0
201210713963	0	1	12.454	1	3	1	3	1	0
201210714056	0	1	15.236148	1	3	3	3	1	3
201210714240	0	1	218.60058	1	4	21	3	1	0
201210714751	0	1	14.897799	1	3	8	3	1	2
201210714788	0	1	14.923428	1	3	4	3	1	0
201210714971	0	1	15.236148	1	3	3	3	1	1
201210715050	0	1	14.573372	1	3	21	3	1	0
201210715058	0	1	14.349849	1	3	10	3	1	0
201210715336	0	1	14.75799	1	3	13	3	1	98
201210715377	0	1	14.573372	1	3	21	3	1	99
201210715392	0	1	15.620256	1	3	16	3	1	2
201210715392	0	1	15.620256	1	3	16	3	1	3
201210715490	0	1	223.85142	1	4	4	3	1	0
201210715629	0	1	223.466985	1	4	8	3	1	1
201210715649	0	1	14.923428	1	3	4	3	1	16
201210715679	0	1	15.620256	1	3	16	3	1	8
201210716141	0	1	14.349849	1	3	10	3	1	6
201210716141	0	1	14.349849	1	3	10	3	1	9
201210716277	0	1	15.166506	1	3	7	3	1	0
201210716385	0	1	15.236148	1	3	3	3	1	0
201210716513	0	1	14.897799	1	3	8	3	1	0
201210716588	0	1	14.923428	1	3	4	3	1	99
201210716744	0	1	223.463504	1	4	3	3	1	2
201210716744	0	1	223.463504	1	4	3	3	1	3
201210716744	0	1	223.463504	1	4	3	3	1	9
201210716777	0	1	5.078716	1	2	3	3	1	21
201210716845	0	1	15.166506	1	3	7	3	1	2
201210716845	0	1	15.166506	1	3	7	3	1	21
201210716993	0	1	15.166506	1	3	7	3	1	0
201210717084	0	1	15.236148	1	3	3	3	1	3
201210717173	0	1	223.463504	1	4	3	3	1	98
201210717178	0	1	15.236148	1	3	3	3	1	0
201210717222	0	1	14.897799	1	3	8	3	1	0
201210717231	0	1	14.75799	1	3	13	3	1	1
201210717254	0	1	14.573372	1	3	21	3	1	1
201210717323	0	1	14.923428	1	3	4	3	1	0
201210718107	0	1	14.923428	1	3	4	3	1	0
201210718122	0	1	14.573372	1	3	21	3	1	1
201210718122	0	1	14.573372	1	3	21	3	1	6
201210718137	0	1	224.814301	1	4	10	3	1	1
201210718217	0	1	15.166506	1	3	7	3	1	0
201210718230	0	1	15.236148	1	3	3	3	1	0
201210718277	0	1	15.236148	1	3	3	3	1	0
201210718353	0	1	14.897799	1	3	8	3	1	1
201210718379	0	1	4.965933	1	2	8	3	1	0
201210718379	0	2	4.965933	1	2	8	3	1	0
201210718435	0	1	15.236148	1	3	3	3	1	1
201210718452	0	1	12.454	1	3	1	3	1	0
201210718528	0	1	50.55502	1	5	7	3	1	0
201210718564	0	1	14.75799	1	3	13	3	1	0
201210718565	0	1	51.652965	1	5	13	3	1	0
201210718565	0	2	51.652965	1	5	13	3	1	0
201210718597	0	1	14.349849	1	3	10	3	1	0
201210718639	0	1	15.236148	1	3	3	3	1	1
201210718734	0	1	15.166506	1	3	7	3	1	98
201210718824	0	1	14.349849	1	3	10	3	1	1
201210718857	0	1	14.75799	1	3	13	3	1	0
201210718867	0	1	14.75799	1	3	13	3	1	21
201210718893	0	1	14.573372	1	2	21	3	1	0
201210718897	0	1	14.573372	1	3	21	3	1	21
201210718922	0	1	12.454	1	3	1	3	1	0
201210718949	0	1	14.923428	1	3	4	3	1	0
201210719151	0	1	14.897799	1	3	8	3	1	1
201210719187	0	1	15.236148	1	3	3	3	1	1
201210719187	0	1	15.236148	1	3	3	3	1	6
201210719264	0	1	14.349849	1	3	10	3	1	2
201210719286	0	1	12.454	1	3	1	3	1	0
201210719404	0	1	221.36985	1	4	13	3	1	0
201210719410	0	1	14.75799	1	3	13	3	1	0
201210719488	0	1	14.897799	1	3	8	3	1	0
201210719490	0	1	14.75799	1	3	13	3	1	0
201210719659	0	1	15.236148	1	3	3	3	1	0
201210719691	0	1	14.573372	1	3	21	3	1	3
201210719783	0	1	14.75799	1	3	13	3	1	0
201210719858	0	1	223.463504	1	4	3	3	1	0
201210719890	0	1	15.236148	1	3	3	3	1	0
201210719923	0	1	15.236148	1	3	3	3	1	2
201210719983	0	1	14.573372	1	2	21	3	1	21
201210719991	0	1	14.573372	1	3	21	3	1	0
201210719996	0	1	14.573372	1	3	21	3	1	0
201210720011	0	1	218.60058	1	4	21	3	1	0
201210720018	0	1	15.620256	1	3	16	3	1	0
201210720171	0	1	12.454	1	3	1	3	1	0
201210720262	0	1	14.923428	1	3	4	3	1	6
201210720371	0	1	14.897799	1	3	8	3	1	2
201210720371	0	1	14.897799	1	3	8	3	1	3
201210720440	0	1	14.349849	1	3	10	3	1	16
201210720466	0	1	14.923428	1	3	4	3	1	0
201210720531	0	1	15.620256	1	3	16	3	1	0
201210720616	0	1	15.166506	1	3	7	3	1	0
201210720632	0	1	14.897799	1	3	8	3	1	1
201210720632	0	1	14.897799	1	3	8	3	1	2
