CASENUM	VEH_NO	WEIGHT	REGION	STRATUM	PJ	PSU	PSUSTRAT	PVE_Forms	PNUMOCCS	PMONTH	PHOUR	PMINUTE	PHARM_EV	PMAN_COLL	PTYPE	PHIT_RUN	PMAKE	PMODEL	PBODYTYP	PMODYEAR	PVIN	PTRAILER	PMCARR_I1	PMCARR_I2	PMCARR_ID	PGVWR	PV_CONFIG	PCARGTYP	PHAZ_INV	PHAZPLAC	PHAZ_ID	PHAZ_CNO	PHAZ_REL	PBUS_USE	PSP_USE	PEM_USE	PIMPACT1	PVEH_SEV	PTOWED	PM_HARM	PVEH_SC1	PVEH_SC2	PFIRE
201210432856	2	53.88671	1	5	4	2	3	1	0	1	22	35	42	0	2	0	30	42	9	1998	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	81	8	8	12	0	0	0
201210432944	1	230.094924	1	4	9	2	3	1	0	1	12	50	45	0	4	0	84	884	78	2003	888888888888	0	77	777777777	77777777777	9	19	4	1	0	0	0	0	0	0	0	12	8	1	12	0	0	0
201210433184	2	269.55978	1	4	10	2	3	1	0	2	14	20	14	0	2	0	37	399	4	2010	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	62	8	8	12	0	0	0
201210433326	2	215.54684	1	4	4	2	3	1	0	2	16	21	14	0	2	0	37	399	4	2008	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	63	8	1	14	0	0	0
201210433419	2	89.85326	1	5	10	2	3	1	0	3	14	34	14	0	3	0	12	23	4	2006	3FAHP08146R1	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	12	8	4	14	0	0	0
201210433419	3	89.85326	1	5	10	2	3	1	0	3	14	34	14	0	3	0	52	34	4	2004	4A3AB26F44E1	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	12	8	4	14	0	0	0
201210433419	4	89.85326	1	5	10	2	3	1	0	3	14	34	14	0	3	0	55	33	4	2010	5NPET4AC9AH6	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	3	8	4	14	0	0	0
201210433482	2	108.584	1	6	2	2	3	1	0	3	13	54	14	0	2	0	2	499	19	2003	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	6	2	14	0	0	0
201210433485	2	217.168	1	4	2	2	3	1	0	3	12	55	14	0	2	0	47	399	2	1992	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	8	1	14	0	0	0
201210433600	2	215.54684	1	4	4	2	3	1	0	3	21	34	14	0	2	0	18	399	4	2000	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	7	8	1	14	0	0	0
