CASENUM	VEH_NO	WEIGHT	REGION	STRATUM	PJ	PSU	PSUSTRAT	MVISOBSC
201210432623	1	27.146	1	2	3	2	3	0
201210432623	2	27.146	1	2	3	2	3	0
201210432628	1	54.292	1	5	3	2	3	0
201210432628	2	54.292	1	5	3	2	3	0
201210432637	1	108.584	1	6	2	2	3	0
201210432654	1	89.85326	1	5	10	2	3	0
201210432654	2	89.85326	1	5	10	2	3	0
201210432654	3	89.85326	1	5	10	2	3	0
201210432656	1	89.85326	1	3	10	2	3	0
201210432657	1	269.55978	1	4	10	2	3	0
201210432657	2	269.55978	1	4	10	2	3	0
201210432658	1	89.85326	1	6	10	2	3	0
201210432662	1	107.77342	1	6	4	2	3	0
201210432662	2	107.77342	1	6	4	2	3	0
201210432666	1	217.168	1	4	3	2	3	0
201210432690	1	217.168	1	4	1	2	3	98
201210432690	2	217.168	1	4	1	2	3	98
201210432697	1	108.584	1	6	1	2	3	0
201210432699	1	108.584	1	6	3	2	3	0
201210432701	1	217.168	1	4	3	2	3	0
201210432701	2	217.168	1	4	3	2	3	0
201210432710	1	217.168	1	4	3	2	3	0
201210432710	2	217.168	1	4	3	2	3	0
201210432711	1	54.292	1	5	3	2	3	0
201210432711	2	54.292	1	5	3	2	3	0
201210432711	3	54.292	1	5	3	2	3	0
201210432718	1	54.292	1	5	2	2	3	97
201210432718	2	54.292	1	5	2	2	3	97
201210432725	1	108.584	1	6	2	2	3	0
201210432725	2	108.584	1	6	2	2	3	0
201210432726	1	217.168	1	4	2	2	3	0
201210432726	2	217.168	1	4	2	2	3	0
201210432730	1	98.56061	1	6	6	2	3	0
201210432733	1	246.401525	1	4	6	2	3	0
201210432733	2	246.401525	1	4	6	2	3	0
201210432734	1	98.56061	1	6	6	2	3	0
201210432738	1	49.280305	1	5	6	2	3	0
201210432741	1	246.401525	1	4	6	2	3	0
201210432742	1	98.56061	1	6	6	2	3	0
201210432748	1	246.401525	1	4	6	2	3	0
201210432748	2	246.401525	1	4	6	2	3	0
201210432749	1	98.56061	1	6	6	2	3	0
201210432753	1	49.280305	1	5	6	2	3	0
201210432754	1	49.280305	1	5	6	2	3	0
201210432754	2	49.280305	1	5	6	2	3	0
201210432755	1	98.56061	1	6	6	2	3	0
201210432759	1	98.56061	1	6	6	2	3	0
201210432764	1	269.55978	1	4	10	2	3	0
201210432766	1	89.85326	1	6	10	2	3	0
201210432767	1	89.85326	1	1	10	2	3	0
201210432768	1	89.85326	1	6	10	2	3	0
201210432768	2	89.85326	1	6	10	2	3	0
201210432768	3	89.85326	1	6	10	2	3	0
201210432769	1	89.85326	1	6	10	2	3	0
201210432770	1	89.85326	1	6	10	2	3	0
201210432771	1	89.85326	1	6	10	2	3	0
201210432774	1	269.55978	1	4	10	2	3	0
201210432774	2	269.55978	1	4	10	2	3	0
201210432774	3	269.55978	1	4	10	2	3	0
201210432776	1	89.85326	1	6	10	2	3	0
201210432776	2	89.85326	1	6	10	2	3	0
201210432777	1	89.85326	1	5	10	2	3	0
201210432777	2	89.85326	1	5	10	2	3	0
201210432777	3	89.85326	1	5	10	2	3	0
201210432780	1	54.292	1	5	1	2	3	98
201210432781	1	54.292	1	5	2	2	3	0
201210432789	1	27.146	1	1	2	2	3	0
201210432790	1	108.584	1	6	1	2	3	0
201210432790	2	108.584	1	6	1	2	3	0
201210432791	1	108.584	1	6	2	2	3	0
201210432791	2	108.584	1	6	2	2	3	0
201210432793	1	27.146	1	1	2	2	3	0
201210432793	2	27.146	1	1	2	2	3	0
201210432807	1	49.280305	1	1	6	2	3	0
201210432808	1	98.56061	1	6	6	2	3	0
201210432810	1	246.401525	1	4	6	2	3	0
201210432810	2	246.401525	1	4	6	2	3	0
201210432811	1	98.56061	1	6	6	2	3	0
201210432812	1	27.146	1	2	3	2	3	0
201210432812	2	27.146	1	2	3	2	3	0
201210432814	1	98.56061	1	6	6	2	3	0
201210432817	1	49.280305	1	5	6	2	3	2
201210432820	1	98.56061	1	6	6	2	3	0
201210432825	1	98.56061	1	6	6	2	3	0
